Words,Link,Score
KIRCHLINDACH,3038,1
BERN PF OC,3039,1
BERN PF OPERATIONS CENTER,3039,1
BERN VERARB.ZENTR.,3040,1
BERN VERARBEITUNGSZENTRUM,3040,1
BERN UBS,3041,1
ORTSCHWABEN,3042,1
UETTLIGEN,3043,1
INNERBERG,3044,1
MEIKIRCH,3045,1
WAHLENDORF,3046,1
BREMGARTEN B. BERN,3047,1
WORBLAUFEN,3048,1
SÄRISWIL,3049,1
BERN SWISSCOM,3050,1
ZOLLIKOFEN,3052,1
DIEMERSWIL,3053,1
MÜNCHENBUCHSEE,3053,1
WIGGISWIL,3053,1
DEISSWIL B. MÜNCHENBUCHSEE,3053,1
ITTIGEN,3063,1
BOLLIGEN,3065,1
STETTLEN,3066,1
BOLL,3067,1
UTZIGEN,3068,1
OSTERMUNDIGEN KATA,3071,1
OSTERMUNDIGEN 1,3072,1
OSTERMUNDIGEN,3072,1
GÜMLIGEN,3073,1
MURI B. BERN,3074,1
VIELBRINGEN B. WORB,3075,1
RÜFENACHT BE,3075,1
WORB,3076,1
ENGGISTEIN,3077,1
RICHIGEN,3078,1
SCHLOSSWIL,3082,1
TRIMSTEIN,3083,1
WABERN,3084,1
WABERN WEIHNACHTEN,3085,1
WABERN 2 X WEIHNACHTEN,3085,1
ENGLISBERG,3086,1
ZIMMERWALD,3086,1
NIEDERMUHLERN,3087,1
RÜEGGISBERG,3088,1
OBERBÜTSCHEL,3088,1
HINTERFULTIGEN,3089,1
SPIEGEL B. BERN,3095,1
OBERBALM,3096,1
LIEBEFELD,3097,1
SCHLIERN B. KÖNIZ,3098,1
RÜTI B. RIGGISBERG,3099,1
MÜNSINGEN,3110,1
TÄGERTSCHI,3111,1
ALLMENDINGEN B. BERN,3112,1
RUBIGEN,3113,1
WICHTRACH,3114,1
GERZENSEE,3115,1
NOFLEN BE,3116,1
KIRCHDORF BE,3116,1
MÜHLEDORF BE,3116,1
KEHRSATZ,3122,1
BELP,3123,1
BELPBERG,3124,1
TOFFEN,3125,1
KAUFDORF,3126,1
GELTERFINGEN,3126,1
LOHNSTORF,3127,1
MÜHLETHURNEN,3127,1
KIRCHENTHURNEN,3128,1
RÜMLIGEN,3128,1
RIGGISBERG,3132,1
GASEL,3144,1
NIEDERSCHERLI,3145,1
MITTELHÄUSERN,3147,1
LANZENHÄUSERN,3148,1
SCHWARZENBURG,3150,1
MAMISHAUS,3152,1
RÜSCHEGG GAMBACH,3153,1
RÜSCHEGG HEUBACH,3154,1
HELGISRIED-ROHRBACH,3155,1
RIFFENMATT,3156,1
MILKEN,3157,1
GUGGISBERG,3158,1
RIEDSTÄTT,3159,1
NIEDERWANGEN B. BERN,3172,1
OBERWANGEN B. BERN,3173,1
THÖRISHAUS,3174,1
NEUENEGG,3176,1
